Topic,Count,Name,Representation,Representative_Docs,journals
16,18,16_month_aged_deep_count,"['month', 'aged', 'deep', 'count', 'outer', 'female']","['month', 'month', 'month']","['GSE106591', 'GSE210492', 'GSE106591', 'GSE106591', 'GSE205070', 'GSE210492']"
17,18,17_anova_ki_efemp1ki_bwa,"['anova', 'ki', 'efemp1ki', 'bwa', 'efemp1', 'ko']","['Efemp1ki/ki', 'Efemp1ki/ki', 'Efemp1ki/ki']","['GSE106591', 'GSE210492', 'GSE210492', 'GSE106591', 'GSE210492', 'GSE205070']"
18,18,18_transcriptomes_transcriptome_transcriptional_transcript,"['transcriptomes', 'transcriptome', 'transcriptional', 'transcript', 'profiling', 'profiles']","['transcript', 'transcriptome', 'transcriptomes']","['GSE106591', 'GSE106591', 'GSE106591', 'GSE106591', 'GSE106591', 'GSE106591']"
19,17,19_wt_ko_tophat_cufflinks,"['wt', 'ko', 'tophat', 'cufflinks']","['WT', 'WT', 'WT']","['GSE106591', 'GSE205070', 'GSE106591', 'GSE106591']"
20,16,20_whole___,['whole'],"['whole', 'whole', 'Whole']","['GSE106591', 'GSE210492']"
21,16,21_lens_kidney_eye_,"['lens', 'kidney', 'eye']","['lens', 'lens', 'lens']","['GSE106591', 'GSE210492', 'GSE143281', 'GSE106591', 'GSE210492']"
22,16,22_quantified_systems_discovery_based,"['quantified', 'systems', 'discovery', 'based', 'investigated', 'diverse', 'conditional', 'modifier']","['systems-based', 'systems-based', 'systems-based']","['GSE106591', 'GSE106591', 'GSE106591', 'GSE106591', 'GSE143281', 'GSE143281', 'GSE143281', 'GSE205070']"
23,16,23_sequencing_sequenced__,"['sequencing', 'sequenced']","['sequencing', 'sequencing', 'sequencing']","['GSE106591', 'GSE210492', 'GSE106591']"
24,15,24_uxt_leventinese_tyro3_gaiix,"['uxt', 'leventinese', 'tyro3', 'gaiix', 'tyrosine']","['leventinese', 'UXT', 'leventinese']","['GSE143281', 'GSE210492', 'GSE205070', 'GSE106591', 'GSE205070']"
25,14,25_eye___,['eye'],"['eye', 'eye', 'eye']","['GSE106591', 'GSE210492']"
26,13,26_pcr_mrna_molecular_qrt,"['pcr', 'mrna', 'molecular', 'qrt', 'like', 'chaperone']","['mRNA', 'molecular', 'PCR']","['GSE106591', 'GSE106591', 'GSE205070', 'GSE143281', 'GSE106591', 'GSE143281', 'GSE143281']"
27,12,27_expression_cells__,"['expression', 'cells']","['expression', 'expression', 'expression']","['GSE106591', 'GSE205070', 'GSE210492', 'GSE205070']"
28,12,28_malattia_dystrophy_phagocytosis_macrophages,"['malattia', 'dystrophy', 'phagocytosis', 'macrophages', 'macrophage', 'epithelia', 'epistasis', 'apoptotic']","['dystrophy/malattia', 'dystrophy/malattia', 'dystrophy/malattia']","['GSE210492', 'GSE210492', 'GSE205070', 'GSE205070', 'GSE205070', 'GSE205070', 'GSE205070', 'GSE205070']"
29,12,29_rate_false_effects_loss,"['rate', 'false', 'effects', 'loss', 'lost']","['False', 'Rate', 'Rate']","['GSE106591', 'GSE106591', 'GSE106591', 'GSE205070', 'GSE205070']"
30,11,30_mouse___,['mouse'],"['mouse', 'mouse', 'mouse']","['GSE106591', 'GSE205070', 'GSE143281']"
31,11,31_traits_abundances_trait_abundant,"['traits', 'abundances', 'trait', 'abundant', 'redundancy']","['abundances', 'traits', 'traits']","['GSE205070', 'GSE106591', 'GSE205070', 'GSE143281', 'GSE205070']"
